answer,length,clue
AAL,3,
AAN,3,Anak bayi laki-laki
ABA,3,Panggilan kepada orang tua lelaki
ABE,3,Uap napas dari mulut
ABG,3,
ABI,3,Sebutan untuk ayah
ABK,3,
ABS,3,
ABU,3,Sisa hasil pembakaran
ACE,3,Perempuan Tionghoa dewasa
ACI,3,
ACO,3,
ACU,3,
ADA,3,
ADE,3,Tali pegangan tas
ADI,3,Alas lantai dari kain
ADU,3,Saling bertanding kekuatan
AGA,3,
AGE,3,Masakan khas mirip rendang
AGO,3,Keranjang bambu untuk ikan
AGU,3,Sapaan penghuni pedalaman gunung
AHA,3,Seruan tanda mengerti
AHO,3,
AIB,3,Noda yang memalukan
AIH,3,
AIN,3,Indra penglihatan manusia
AIR,3,Ikut wadahnya
AIS,3,Puting susu induk babi
AJA,3,Bermakna cuma atau hanya
AJI,3,Sebutan bagi seorang raja
AJU,3,
AKA,3,Ayunan ke arah kanan
AKE,3,Ukiran pada bingkai pintu
AKH,3,
AKI,3,Baterai kendaraan bermotor
AKO,3,Sapaan lelaki keturunan Tionghoa
AKU,3,
ALA,3,Menurut gaya tertentu
ALF,3,
ALI,3,Panggilan untuk kaum pria
ALM,3,
ALU,3,Penumbuk padi dari kayu
AMA,3,Panggilan untuk seorang ayah
AMI,3,Saudara lelaki dari ayah
AMO,3,Tungau putih pada padi
AMU,3,Kutu kecil parasit unggas
ANA,3,
AND,3,
ANI,3,Perkakas pemasang benang tenun
ANU,3,Sesuatu yang tak disebut
APA,3,
APE,3,Kue manis dari terigu
API,3,Sakit dan tak tersentuh
APO,3,Perbukitan berpuncak datar
APT,3,
APU,3,
ARA,3,Sapaan sayang untuk gadis
ARE,3,Satuan ukuran luas tanah
ARI,3,Pergantian siang dan malam
ART,3,
ARU,3,Gelar bangsawan orang Bugis
ASA,3,Harapan yang tersisa
ASE,3,
ASI,3,Rasa peduli dan minat
ASO,3,
ASU,3,Hewan penggonggong penjaga rumah
ATA,3,Golongan budak belian
ATC,3,
ATE,3,Daun sagu untuk atap
ATF,3,
ATI,3,
ATM,3,Kotak pemberi uang
ATO,3,
AUK,3,
AUM,3,
AUR,3,Sejenis pohon bambu
AUS,3,
AVE,3,Bagian tajam pada pisau
AWA,3,
AYO,3,
AYU,3,
BAB,3,Bagian dalam buku
BAD,3,Udara yang berembus
BAH,3,Luapan air deras
BAI,3,Pengantin baru pria
BAK,3,Wadah besar penampung air
BAL,3,Benda bundar untuk ditendang
BAM,3,Bunyi pukulan gendang
BAN,3,Karet bundar kendaraan
BAO,3,Pria yang ditinggal istri
BAP,3,
BAR,3,Tempat minum minuman keras
BAS,3,Atasan di tempat kerja
BAT,3,Satuan takaran zat cair
BAU,3,Yang tercium oleh hidung
BBM,3,Minuman mahkluk keras
BEA,3,Pungutan pajak barang
BEI,3,
BEK,3,Pemain belakang sepak bola
BEL,3,Bunyi tanda kedatangan tamu
BEO,3,Burung hitam peniru suara
BER,3,
BET,3,Pemukul dalam permainan pingpong
BID,3,Tawaran harga dalam lelang
BIG,3,
BIK,3,
BIN,3,
BIO,3,
BIR,3,Minuman beralkohol hasil fermentasi
BIS,3,Kendaraan umum roda banyak
BIT,3,Angka nol atau satu
BIU,3,Gelar pemangku adat istana
BKN,3,
BLT,3,
BLU,3,
BOA,3,Selendang panjang dari bulu
BOB,3,Model rambut pendek wanita
BOG,3,Rawa gambut berlumut
BOI,3,
BOL,3,Ujung usus dekat dubur
BOM,3,Senjata bahan peledak
