word,kelas,panjang,definisi,clue
OKE,aksi,3,setuju,Setuju
JAM,benda,3,pukul2,Punya 12 angka
AIR,benda,3,"benda cair yang biasa terdapat di sumur, sungai, danau yang mendidih pada suhu 100�C",Ikut wadahnya
TAU,aksi,3,tahu,Sudah belajar
TIM,aksi,3,mengetim,Regu dalam pertandingan
IDE,benda,3,perasaan yang benar-benar menyelimuti pikiran,Hasil kerja otak
API,benda,3,kebakaran,Sakit dan tak tersentuh
MAN,benda,3,paman,Saudara lelaki orang tua
SIR,benda,3,tiruan bunyi desir,Tiruan bunyi hembusan lembut
KIM,benda,3,permainan dengan menandai angka yang telah terletak dalam kolom ataupun baris yang telah d,Permainan angka mirip bingo
HAK,benda,3,kewenangan,Wewenang yang dimiliki
DAH,benda,3,sudah,Menyatakan telah selesai
BOM,benda,3,pelabuhan; pabean,Senjata bahan peledak
BAU,aksi,3,ada baunya; mengeluarkan bau,Yang tercium oleh hidung
MIL,benda,3,surat-surat pos,Kiriman lewat kantor pos
KUE,benda,3,"penganan yang dibuat dari bahan yang bermacam-macam, dapat dibuat dalam berbagai bentuk, a",Makanan manis
TAS,benda,3,bunyi lembut sekali,Wadah pembawa barang
BAR,benda,3,"tempat minum-minum (biasanya minuman keras, seperti anggur, bir, wiski)",Tempat minum minuman keras
TOM,benda,3,tali kekang,Tali pengendali kuda
TEH,benda,3,"pohon kecil, tumbuh di alam bebas, daunnya berbentuk jorong atau bulat telur, pucuknya dil",Minuman seduhan daun
BIR,benda,3,minuman mengandung alkohol yang dibuat dengan peragian lambat,Minuman beralkohol hasil fermentasi
TES,benda,3,percobaan untuk menguji kelaikan jalan suatu kendaraan bermotor umum; uji,Uji kemampuan seseorang
JIN,benda,3,pelana,Makhluk halus tak terlihat
JIM,benda,3,nama huruf ke-5 abjad Arab,Huruf dalam abjad Arab
BOB,benda,3,potongan rambut pendek dan membulat (biasanya pada wanita),Model rambut pendek wanita
WON,benda,3,mata uang Korea Selatan dan Korea Utara,Mata uang negara Korea
BUS,benda,3,tiruan bunyi angin berembus,Kendaraan umum besar
SEL,benda,3,"bilik kecil dan sempit (dalam penjara, biara, dan sebagainya)",Kamar kecil di penjara
ROH,benda,3,semangat; spirit,Jiwa atau nyawa
GOT,benda,3,selokan,Saluran pembuangan air kotor
